Module,ID,Fonctionnalité,Description,Statut,Assigné à,Date cible,Date réelle,Priorité,Notes,Temps estimé (h),Temps réel (h),Jours restants,Sprint
F1: Gestion Utilisateurs,1,Authentification & Connexion,Page de login avec JWT,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,2,Gestion des Rôles,Permissions pour 4 rôles,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,3,CRUD Utilisateurs (Admin),Créer/lire/modifier/supprimer comptes,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,4,Attribution Rôle/Département,Assigner rôle et département,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,5,Verrouillage Auto Comptes,Blocage après 3 échecs,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,6,Préférences Notification,Choix Email/SMS dans profil,NOT YET,,,,NOT YET,NOT YET,,,,
F1: Gestion Utilisateurs,7,Boîte Messagerie Intégrée,Envoyer/recevoir emails dans l'app,NOT YET,,,,NOT YET,NOT YET,,,,
F2: Référentiels,8,CRUD Applications Métier,Admin: liste applications,NOT YET,,,,NOT YET,NOT YET,,,,
F2: Référentiels,9,CRUD Zones Géographiques,Admin: liste gouvernorats,NOT YET,,,,NOT YET,NOT YET,,,,
F2: Référentiels,10,CRUD Structures Client,Admin: liste organisations,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,11,Création Convention,Formulaire complet nouvelle convention,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,12,Consultation Conventions,Liste avec filtres,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,13,Modification Convention,Mettre à jour infos existantes,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,14,Gestion Avenants,Ajout modifications + historique,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,15,Archivage Automatique,Déplacer conventions terminées,NOT YET,,,,NOT YET,NOT YET,,,,
F3: Cycle de Vie Conventions,16,Renouvellement Simplifié,Bouton "Renouveler" pour copie,NOT YET,,,,NOT YET,NOT YET,,,,
F4: Facturation & Plans,17,Configuration Échéancier,Interface plan paiement,NOT YET,,,,NOT YET,NOT YET,,,,
F4: Facturation & Plans,18,Validation Plan (100%),Contrôle total = 100%,NOT YET,,,,NOT YET,NOT YET,,,,
F4: Facturation & Plans,19,Génération Auto Factures,Créer factures depuis convention,NOT YET,,,,NOT YET,NOT YET,,,,
F4: Facturation & Plans,20,Suivi Statuts Factures,Créée/Envoyée/Payée/En Retard,NOT YET,,,,NOT YET,NOT YET,,,,
